1,perspershZeus,εξης,perspersaeZenodotus,στρατηγικως,ανω,στικτεον,ελληνων,εποιησεν,δεικνυσιν,perspersgaHeracles,perspersaafHera,perspersbaeDiomedes,ποιητης,θρασυς,διδασκει,αυξει,perspersagbHector,δηλοι,ολυμπω,γραφει
2,perspersafAristarchus,γραφεται,perspersdicAeliusHerodianus,αλλως,ουχι,τρωων,perspersagbHector,επιφερει,perspersaeZenodotus,καλως,οικειον,πλουν,πιθανως,ορμην,λεληθοτως,δεικνυς,πεντε,perspersaahOdysseus,αλλοι,βεβληται
3,δηλοι,perspersagbHector,μερος,δεικνυσι,perspershZeus,ποιητης,λεγει,κυνες,επεται,διχα,ισχυν,μοιριδιον,αλλως,ομοιον,προβαλλεται,τρωας,προτερον,θυρων,θεων,ελληνας
4,perspershZeus,εξης,αθετουνται,perspersagHomer,λεγει,perspersagbHector,καταπληξιν,δηλοι,λειπει,πολεμιων,ιππους,αλλαχου,οπλα,ιππων,σχημα,διαστολη,βουλεται,perspersgfNicanor,στιχοι,πλειους
5,ελληνας,φευγοντων,σημαινει,perspersagbHector,νεων,perspersaeZenodotus,μαχην,φωτος,σφαιροειδης,πασα,ουσα,αλλως,perspershZeus,λεγει,ελληνων,γραφει,μειναι,αντιλεγειν,perspersaafHera,ταφρου
6,perspersbaeDiomedes,perspershZeus,θεων,perspersaAchilles,θελει,εξης,δηλοι,perspersaagNestor,αλλων,perspersabgAjax,επεισθη,σχηματι,λογος,λεγουσα,ελληνας,αληθη,ανωτερω,φιλαδελφιαν,φυγην,φευγων
7,perspershZeus,λεγει,δηλοι,perspersfgAthena,καλως,εδει,ετερου,ονομα,perspersagbHector,τρωων,λεγειν,θορυβωδες,εναντιουσθαι,αρχεται,⁚,θανατον,ελληνων,πολις,καθολου,δυναται
8,perspershZeus,ηθικως,μεταφορα,αλλως,perspersbaAristophanes,perspersagbHector,perspersaeZenodotus,εξης,χωρις,τοπος,perspersbbAgamemnon,δηλοι,τρωες,ητταν,ελληνων,λογος,επιθετον,εμου,ελλησι,εθαρρησαν
