1,αυτω,εξης,κυριον,εχρωντο,ανω,αις,perspersafAristarchus,αει,χρηται,τονον,συναπτεον,προκειμενον,ποτε,πολεμον,παντα
2,γραφεται,αλλ,perspersaeZenodotus,λεγει,σημαινει,εξης,ισω,ελλειπει,αλλων,καθολου,perspersagbHector,perspersbaAristophanes,προφερεται,φρασις,φευγων
3,perspersafAristarchus,⁚,σαφως,λεγει,παρ,αλλοι,ειπεν,φασιν,τρωων,σημαινει,πυρος,παντων,οσον,ολυμπου,οιον
4,perspersaeZenodotus,χωρις,perspersafAristarchus,λεγει,perspersbaAristophanes,γραφει,τρεις,ενταυθα,εντευθεν,στιχοι,αθετουνται,μετακεινται,οις,στιχους,πρωτους
5,perspersafAristarchus,οπερ,ιππων,γραφει,perspersaeZenodotus,τειχους,ταφρου,ταφρος,πληρες,διχως,διασταλτεον,βραχυ,perspersdHesiod,φωνης,τισι
6,perspershZeus,εξης,θεων,ταυτην,ημεις,perspersfgAthena,ενθαδε,τελος,συνδεσμος,στιχοι,ρηματος,ποιητην,περισσον,πασα,ομοιως
7,φασι,perspersagHomer,perspershZeus,perspersafAristarchus,υποστιγμη,ρητεον,προτερον,ποιητη,πληθυντικον,παντων,οιονει,νεωτεροι,μιας,επανω,εξης
8,perspershZeus,κοινον,εχει,αθετειται,εξης,λειπει,perspersafAristarchus,perspersaeZenodotus,ιν,φερεται,ταχεια,συλλαβην,στιχος,ποτε,ουδεποτε
